"DiamondLogId";"UniqueUserId";"DiamondTotal";"PaymentType";"DiamondUsage";"UsageDate"
"cbc0d20d-1fb7-4819-b8d8-458dcc30f4cf";"127";"10";"charge";"Konseling 1on1 reservation";"2019-11-15 09:26:45"
"cbf25fec-504b-41af-b817-b3eccb502039";"97";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-09 08:38:59"
"cc8a0420-7f5d-4e1b-8d32-368895693fb6";"123";"5";"topup";NULL;"2019-12-03 06:54:23"
"cc9323e1-df7e-44d6-a4b2-6a736fbecbe4";"131";"5";"topup";NULL;"2019-10-13 04:33:15"
"ce5b1a8b-3a8b-44b5-94b7-e4144ac19aa6";"127";"0";"charge";"tes";"2019-12-30 07:44:26"
"cfc6b41e-7153-499c-9375-773164ae15a2";"123";"5";"topup";NULL;"2019-10-13 03:10:44"
"cfdd99a9-5c15-43d6-a544-bc2d07480dfe";"131";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum STG a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-10-17 04:05:37"
"d00f9042-ae61-4406-bb41-8ccd1581a3a6";"97";"5";"topup";"topup 5 diamond";"2019-10-09 06:41:48"
"d02602b9-6c43-48fd-8184-410df21081a3";"127";"5";"charge";"Aptitude test reservation";"2019-12-03 03:47:55"
"d033cf75-4842-461e-8869-27e58dd211ed";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 10:34:18"
"d0ffe3bb-afd6-4a50-8bd0-9ce9366e8246";"123";"5";"topup";NULL;"2020-01-06 06:11:10"
"d104234b-135a-4fca-9609-2d3ba87cba7a";"23";"5";"topup";NULL;"2019-10-13 03:10:32"
"d152d2f4-1f95-4ced-b4e0-98dd84042a01";"122";"5";"topup";NULL;"2019-10-12 10:40:21"
"d44ba9a9-af79-4479-81b3-2823ad7eebf0";"127";"10";"charge";"Manual Booking: Konseling 1on1";"2019-10-25 07:45:26"
