"UniqueTransactionId";"UniqueOrderId";"TransactionPlaceStatus";"InitiatingOrderTime";"OrderPlacedTime";"CompletedOrderTransactionDate";"TransactionStatus";"UserId";"OrderCreatedDate";"GrossPrice";"UniquePackageId"
"e0f40052-0857-40f0-ba55-9dca5aedede6";"085911201902010";"Pending";"2019-12-02 09:56:56";NULL;NULL;"init";"7";"2019-12-02 09:56:56";"25000";"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82"
"e5a7b794-1647-419a-ad7b-fad0ac774ccb";"826706201910313";"bca";"2019-07-10 13:52:44";"2019-07-10 20:52:48";"2019-07-11 13:52:50";"expire";"43";"2019-07-10 13:52:45";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"e7e598ab-7cf5-4f7c-8b66-718b8f93564f";"954906201910212";"Pending";"2019-07-10 14:03:13";NULL;NULL;"init";"43";"2019-07-10 14:03:13";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"e82a889a-3b8f-48d5-9093-5ad27278f0c3";"97969201910132";"alfamart";"2019-10-10 08:20:09";"2019-10-10 15:20:12";"2019-10-10 08:20:28";"settlement";"123";"2019-10-10 08:20:09";"260000";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"e95c7d77-24f9-4c6d-b2d2-d0489ba07dd7";"026000202010112";"indomaret";"2020-01-10 03:52:14";"2020-01-10 10:52:20";"2020-01-10 03:52:35";"settlement";"123";"2020-01-10 03:52:14";"450000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"e9aaecfe-b4ec-41f0-84e0-476c3bf6a867";"132111201919315";"Pending";"2019-12-19 02:48:54";NULL;NULL;"init";"139";"2019-12-19 02:48:54";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"e9b51785-1e6a-4092-af7f-ed059551ff4e";"83929201918507";"Pending";"2019-10-18 04:24:57";NULL;NULL;"init";"127";"2019-10-18 04:24:57";"260000";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"ea3220bc-3fef-40fe-9555-1d5b2fa03147";"028411201917015";"Pending";"2019-12-17 09:47:50";NULL;NULL;"init";"148";"2019-12-17 09:47:50";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"eb44eaba-c42e-4f97-b51f-975f98800d81";"926510201928409";"indomaret";"2019-11-28 03:53:08";"2019-11-28 10:53:17";"2019-11-28 03:54:36";"settlement";"123";"2019-11-28 03:53:08";"25000";"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82"
"eccaa2d3-938d-4b99-a6d6-62f35cff1d13";"748307201901808";"Pending";"2019-08-01 04:20:52";NULL;NULL;"init";"104";"2019-08-01 04:20:52";"170000";"1532b93e-5153-4a88-ac4b-ef6eac679607"
"ed29cf41-02ba-4392-aca9-9f1ab44f745e";"471911201903607";"Pending";"2019-12-03 06:48:25";NULL;NULL;"init";"7";"2019-12-03 06:48:25";"130000";"43827957-7c98-436d-9a9b-2eb47096ef67"
"ed32a03a-98a9-43c2-9508-80c50f9fb124";"143411201901616";"Pending";"2019-12-01 09:21:26";NULL;NULL;"init";"7";"2019-12-01 09:21:26";"130000";"43827957-7c98-436d-9a9b-2eb47096ef67"
