"TestParticipantId";"TestId";"TestTypeId";"UniqueUserId";"TestCreatedDate";"LastUpdated";"DepartmentTarget";"StatusLevelParticipant";"UniversityTarget";"TestInfoSource"
"720b88a1-5e43-49bf-b373-3411ff99b0bf";"610583e2-1f72-408c-9101-ff846597c158";"3910cbc4-ecd6-477c-b158-bd3064d3451a";"127";"2019-11-17 19:11:49";"2019-11-19 01:22:15";"cad6a26c-0f89-48b6-9415-b8a477cb70dd";"FREE";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"76867539-37f8-40f1-9a5f-2c850e38b7ab";"610583e2-1f72-408c-9101-ff846597c158";"3910cbc4-ecd6-477c-b158-bd3064d3451a";"150";"2019-12-19 07:57:34";"2019-12-19 08:04:43";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"Instagram"
"76dd57d2-ae10-4b14-a495-6d890cb0cc41";"408725b5-ae33-4824-a5ca-7fe2ce102644";"2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"142";"2019-12-12 10:21:42";"2019-12-12 10:21:42";"b3db2798-7813-44a6-95fa-0f41ed35039f";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"7b5252e0-9226-45ab-b3f3-e6c454171e51";"610583e2-1f72-408c-9101-ff846597c158";"3910cbc4-ecd6-477c-b158-bd3064d3451a";"43";"2019-11-15 12:07:33";"2019-11-15 12:07:33";"67943b51-31be-4189-a6b3-f7b3ba830b97";"FULL";NULL;NULL
"7c5409a4-e6c7-4408-9fe5-365f4f6820c8";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"43";"2019-10-13 15:23:00";"2019-12-09 03:02:04";"b84d8ce9-31bb-4e38-8416-8cdd6a4cba2c";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"8300a279-18be-497b-a73b-95112004736e";"408725b5-ae33-4824-a5ca-7fe2ce102644";"2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"139";"2019-12-17 07:21:54";"2019-12-17 07:21:54";"2d5fd898-2391-4f81-a376-e127ce130bf1";"PENDING";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"8851397f-6850-436d-8f67-9c21ad42a013";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"97";"2019-10-09 11:54:48";"2019-10-09 11:54:48";NULL;"FREE";NULL;NULL
"8a90b385-2d54-4b44-8702-81a8483fad98";"326f1f42-ea4e-477b-adcc-e9e8088c7fa7";"358e5fca-1ece-4735-8003-e429c08b86ab";"123";"2019-12-03 03:09:42";"2019-12-03 03:09:42";NULL;"FULL";NULL;NULL
"8cd61684-4832-42b1-ad1d-5e767f1cd36d";"408725b5-ae33-4824-a5ca-7fe2ce102644";"2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"123";"2019-12-13 11:58:48";"2019-12-13 11:58:48";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"8cda85f4-fa97-4b2b-82b2-ff294614e591";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"127";"2019-10-10 06:04:30";"2019-11-29 06:50:29";"8410ad40-aa00-44a6-b28d-e555c0131ba4";"VIDEO";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
