"UniqueUserActionId";"UserActionCreatedDate";"UniqueTransactionId";"UserId";"UniqueActionPackageId"
"09277123-3632-40a5-9ef5-26a99ef249da";"2020-01-10 10:54:30";"96c910d2-8c4b-46f1-aa9e-09ab7024a5f0";"123";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"0a56819f-f46f-4d01-b87a-ab8dbb0cc937";"2019-12-04 11:48:55";"9aabb100-21d1-4b20-a1c3-3852b6fca5c5";"7";"43827957-7c98-436d-9a9b-2eb47096ef67"
"0bcb866d-6ec1-4222-aca3-e3c7d28f192c";"2019-10-13 10:10:43";NULL;"121";"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82"
"0be2a2ce-00bb-4fb0-a843-a85f1c4bf00e";"2019-10-12 19:13:29";NULL;"128";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"0d9c0faa-a2f3-4295-900e-7c4bf3b1c95b";"2019-10-12 19:13:24";NULL;"20";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"0dbc60a8-ceb4-47ff-9a89-9bb664cd6c20";"2019-10-12 19:13:26";NULL;"59";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"0e5ca6f2-cdb2-483e-9bb0-daaa7ca8f804";"2019-07-08 14:33:34";"ded4b2ae-f0e1-42ed-b31a-8d6ce99f3e02";"12";"f623443a-d9cf-4302-97da-d29fd2696997"
"0e63cd99-fe03-48da-8742-edf9cffd0f86";"2019-10-13 11:33:09";NULL;"24";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"0eb5c852-6a91-4b74-a444-aafd09eed4c5";"2019-07-04 11:04:24";NULL;"104";"d2961f68-9350-4b2b-939a-474bad8dc928"
"0f9f226a-0edf-4e9a-88c7-2fc185682ffc";"2019-07-10 15:30:08";"c0cd75d0-96fd-4898-854d-4c19fed66d0d";"108";"f623443a-d9cf-4302-97da-d29fd2696997"
"0fa4b026-8810-46e0-b0fe-d94cc21f26c7";"2019-10-12 19:13:26";NULL;"63";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"0fc5cac3-3722-4970-a90c-d55ae2d1853d";"2019-12-12 11:29:32";"a806e9e9-6c55-45d5-8bbb-f37b8b00f363";"7";"37695149-ebaf-4c88-8766-5470860be535"
